Country,Race,Age,Age_Group,Gender,Ordering,E_Trait_mean,E_Trait_std,E_Trait_count,A_Trait_mean,A_Trait_std,A_Trait_count,C_Trait_mean,C_Trait_std,C_Trait_count,N_Trait_mean,N_Trait_std,N_Trait_count,O_Trait_mean,O_Trait_std,O_Trait_count
India,Mixed Race,50,All,All,Age -> Gender -> Nationality,3.0,,1,4.2,,1,3.4,,1,3.3,,1,3.9,,1
India,Mixed Race,50,All,All,Gender -> Age -> Nationality,2.9,,1,4.1,,1,3.6,,1,3.4,,1,3.8,,1
India,Mixed Race,50,All,All,Nationality -> Age -> Gender,3.1,,1,4.2,,1,3.6,,1,3.3,,1,3.8,,1
India,Other,13,All,All,Age -> Gender -> Nationality,3.0,,1,4.1,,1,3.3,,1,3.3,,1,3.6,,1
India,Other,13,All,All,Gender -> Age -> Nationality,3.1,,1,4.0,,1,3.2,,1,3.1,,1,3.6,,1
India,Other,13,All,All,Nationality -> Age -> Gender,2.9,,1,4.0,,1,3.1,,1,3.3,,1,3.7,,1
India,Other,16,All,All,Age -> Gender -> Nationality,3.1,0.141,2,4.0,0.141,2,3.4,0.141,2,3.25,0.071,2,3.7,0.141,2
India,Other,16,All,All,Gender -> Age -> Nationality,2.85,0.071,2,4.1,0.0,2,3.25,0.212,2,3.1,0.0,2,3.65,0.071,2
India,Other,16,All,All,Nationality -> Age -> Gender,2.75,0.071,2,4.15,0.071,2,3.3,0.0,2,3.2,0.0,2,3.65,0.071,2
India,Other,17,All,All,Age -> Gender -> Nationality,2.9,,1,4.2,,1,3.2,,1,3.2,,1,3.7,,1
India,Other,17,All,All,Gender -> Age -> Nationality,3.0,,1,4.1,,1,3.0,,1,3.1,,1,3.8,,1
India,Other,17,All,All,Nationality -> Age -> Gender,2.9,,1,4.2,,1,3.4,,1,3.2,,1,3.8,,1
India,Other,18,All,All,Age -> Gender -> Nationality,2.8,0.141,2,4.0,0.0,2,3.4,0.141,2,3.3,0.0,2,3.65,0.071,2
India,Other,18,All,All,Gender -> Age -> Nationality,3.05,0.071,2,4.15,0.071,2,3.2,0.141,2,3.25,0.212,2,3.7,0.0,2
India,Other,18,All,All,Nationality -> Age -> Gender,3.0,0.0,2,4.05,0.071,2,3.3,0.141,2,3.15,0.071,2,3.75,0.071,2
India,Other,19,All,All,Age -> Gender -> Nationality,2.9,,1,4.1,,1,3.6,,1,3.3,,1,3.8,,1
India,Other,19,All,All,Gender -> Age -> Nationality,3.0,,1,4.1,,1,3.3,,1,3.2,,1,3.6,,1
India,Other,19,All,All,Nationality -> Age -> Gender,2.8,,1,4.1,,1,3.5,,1,3.2,,1,3.7,,1
India,Other,20,All,All,Age -> Gender -> Nationality,3.0,0.141,2,4.1,0.141,2,3.4,0.141,2,3.15,0.071,2,3.8,0.0,2
India,Other,20,All,All,Gender -> Age -> Nationality,2.8,0.283,2,4.05,0.071,2,3.35,0.071,2,3.15,0.071,2,3.65,0.071,2
India,Other,20,All,All,Nationality -> Age -> Gender,2.95,0.071,2,4.1,0.141,2,3.55,0.212,2,3.2,0.0,2,3.7,0.0,2
India,Other,21,All,All,Age -> Gender -> Nationality,2.9,,1,4.1,,1,3.4,,1,3.2,,1,3.7,,1
India,Other,21,All,All,Gender -> Age -> Nationality,3.2,,1,4.1,,1,3.7,,1,3.3,,1,3.8,,1
India,Other,21,All,All,Nationality -> Age -> Gender,3.1,,1,4.2,,1,3.5,,1,3.3,,1,3.8,,1
India,Other,23,All,All,Age -> Gender -> Nationality,2.8,,1,4.1,,1,3.6,,1,3.2,,1,3.7,,1
India,Other,23,All,All,Gender -> Age -> Nationality,3.1,,1,4.1,,1,3.7,,1,3.2,,1,3.5,,1
India,Other,23,All,All,Nationality -> Age -> Gender,3.3,,1,4.2,,1,3.5,,1,3.3,,1,3.7,,1
India,Other,24,All,All,Age -> Gender -> Nationality,2.9,,1,4.1,,1,3.5,,1,3.3,,1,3.5,,1
India,Other,24,All,All,Gender -> Age -> Nationality,3.1,,1,4.1,,1,3.4,,1,3.2,,1,3.8,,1
India,Other,24,All,All,Nationality -> Age -> Gender,2.9,,1,4.1,,1,3.6,,1,3.3,,1,3.7,,1
India,Other,25,All,All,Age -> Gender -> Nationality,3.1,,1,4.1,,1,3.6,,1,3.2,,1,3.7,,1
India,Other,25,All,All,Gender -> Age -> Nationality,3.3,,1,4.1,,1,3.4,,1,3.3,,1,3.6,,1
India,Other,25,All,All,Nationality -> Age -> Gender,3.1,,1,4.1,,1,3.6,,1,3.3,,1,3.8,,1
India,Other,26,All,All,Age -> Gender -> Nationality,3.1,,1,4.1,,1,3.6,,1,3.2,,1,3.7,,1
India,Other,26,All,All,Gender -> Age -> Nationality,3.1,,1,4.1,,1,3.6,,1,3.3,,1,3.8,,1
India,Other,26,All,All,Nationality -> Age -> Gender,3.2,,1,4.0,,1,3.6,,1,3.2,,1,3.8,,1
India,Other,27,All,All,Age -> Gender -> Nationality,3.2,,1,4.0,,1,3.5,,1,3.3,,1,3.8,,1
India,Other,27,All,All,Gender -> Age -> Nationality,3.1,,1,4.1,,1,3.6,,1,3.3,,1,3.7,,1
India,Other,27,All,All,Nationality -> Age -> Gender,3.1,,1,4.1,,1,3.7,,1,3.2,,1,3.8,,1
India,Other,29,All,All,Age -> Gender -> Nationality,3.3,,1,4.0,,1,3.6,,1,3.3,,1,3.9,,1
India,Other,29,All,All,Gender -> Age -> Nationality,3.2,,1,4.0,,1,3.7,,1,3.3,,1,3.8,,1
India,Other,29,All,All,Nationality -> Age -> Gender,3.0,,1,4.1,,1,3.6,,1,3.3,,1,3.6,,1
India,Other,42,All,All,Age -> Gender -> Nationality,2.9,,1,4.1,,1,3.6,,1,3.3,,1,3.9,,1
India,Other,42,All,All,Gender -> Age -> Nationality,3.1,,1,4.1,,1,3.7,,1,3.4,,1,3.7,,1
India,Other,42,All,All,Nationality -> Age -> Gender,3.1,,1,4.1,,1,3.7,,1,3.3,,1,3.8,,1
India,South East Asian,18,All,All,Age -> Gender -> Nationality,2.8,,1,4.1,,1,3.3,,1,3.3,,1,3.5,,1
India,South East Asian,18,All,All,Gender -> Age -> Nationality,2.8,,1,4.1,,1,3.6,,1,3.3,,1,3.6,,1
India,South East Asian,18,All,All,Nationality -> Age -> Gender,3.1,,1,4.2,,1,3.4,,1,3.1,,1,3.7,,1
India,South East Asian,24,All,All,Age -> Gender -> Nationality,3.4,,1,4.0,,1,3.5,,1,3.1,,1,3.8,,1
India,South East Asian,24,All,All,Gender -> Age -> Nationality,2.7,,1,4.1,,1,3.3,,1,3.3,,1,3.7,,1
India,South East Asian,24,All,All,Nationality -> Age -> Gender,2.9,,1,4.2,,1,3.7,,1,3.2,,1,3.8,,1
India,South East Asian,25,All,All,Age -> Gender -> Nationality,3.0,,1,4.1,,1,3.2,,1,3.3,,1,3.7,,1
India,South East Asian,25,All,All,Gender -> Age -> Nationality,3.1,,1,4.1,,1,3.5,,1,3.3,,1,3.7,,1
India,South East Asian,25,All,All,Nationality -> Age -> Gender,3.1,,1,4.1,,1,3.6,,1,3.3,,1,3.8,,1
India,South East Asian,32,All,All,Age -> Gender -> Nationality,3.1,0.141,2,4.15,0.071,2,3.45,0.071,2,3.2,0.141,2,3.7,0.141,2
India,South East Asian,32,All,All,Gender -> Age -> Nationality,3.15,0.354,2,4.1,0.0,2,3.5,0.141,2,3.35,0.071,2,3.75,0.071,2
India,South East Asian,32,All,All,Nationality -> Age -> Gender,2.9,0.283,2,4.1,0.0,2,3.45,0.071,2,3.3,0.0,2,3.8,0.141,2
India,South East Asian,43,All,All,Age -> Gender -> Nationality,2.9,,1,4.2,,1,3.7,,1,3.3,,1,3.6,,1
India,South East Asian,43,All,All,Gender -> Age -> Nationality,3.0,,1,4.1,,1,3.7,,1,3.3,,1,3.8,,1
India,South East Asian,43,All,All,Nationality -> Age -> Gender,3.0,,1,4.1,,1,3.4,,1,3.3,,1,3.7,,1
Indonesia,Other,17,All,All,Age -> Gender -> Nationality,2.8,,1,4.0,,1,3.2,,1,3.3,,1,3.6,,1
Indonesia,Other,17,All,All,Gender -> Age -> Nationality,2.8,,1,3.8,,1,3.3,,1,3.2,,1,3.7,,1
Indonesia,Other,17,All,All,Nationality -> Age -> Gender,2.9,,1,4.2,,1,3.2,,1,3.2,,1,3.6,,1
Indonesia,Other,19,All,All,Age -> Gender -> Nationality,3.2,,1,4.2,,1,3.4,,1,3.2,,1,3.8,,1
Indonesia,Other,19,All,All,Gender -> Age -> Nationality,2.8,,1,4.2,,1,3.3,,1,3.2,,1,3.7,,1
Indonesia,Other,19,All,All,Nationality -> Age -> Gender,2.8,,1,4.2,,1,3.5,,1,3.2,,1,3.8,,1
Indonesia,South East Asian,19,All,All,Age -> Gender -> Nationality,2.7,,1,4.1,,1,3.6,,1,3.2,,1,3.6,,1
Indonesia,South East Asian,19,All,All,Gender -> Age -> Nationality,2.7,,1,4.2,,1,3.5,,1,3.0,,1,3.7,,1
Indonesia,South East Asian,19,All,All,Nationality -> Age -> Gender,2.6,,1,4.2,,1,3.5,,1,3.3,,1,3.7,,1
Indonesia,South East Asian,20,All,All,Age -> Gender -> Nationality,2.95,0.212,2,4.2,0.0,2,3.5,0.0,2,3.25,0.071,2,3.65,0.071,2
Indonesia,South East Asian,20,All,All,Gender -> Age -> Nationality,2.85,0.071,2,4.15,0.071,2,3.35,0.212,2,3.25,0.071,2,3.5,0.141,2
Indonesia,South East Asian,20,All,All,Nationality -> Age -> Gender,3.0,0.283,2,4.15,0.071,2,3.35,0.071,2,3.2,0.0,2,3.6,0.0,2
Indonesia,South East Asian,26,All,All,Age -> Gender -> Nationality,3.05,0.071,2,4.15,0.071,2,3.6,0.0,2,3.3,0.0,2,3.65,0.071,2
Indonesia,South East Asian,26,All,All,Gender -> Age -> Nationality,2.9,0.283,2,4.2,0.0,2,3.4,0.141,2,3.25,0.071,2,3.6,0.141,2
Indonesia,South East Asian,26,All,All,Nationality -> Age -> Gender,3.0,0.283,2,4.15,0.071,2,3.3,0.0,2,3.3,0.0,2,3.55,0.071,2
Ireland,Caucasian (European),15,All,All,Age -> Gender -> Nationality,2.7,,1,4.2,,1,3.2,,1,3.2,,1,3.8,,1
Ireland,Caucasian (European),15,All,All,Gender -> Age -> Nationality,2.8,,1,4.2,,1,3.3,,1,3.1,,1,3.7,,1
Ireland,Caucasian (European),15,All,All,Nationality -> Age -> Gender,2.8,,1,4.1,,1,3.3,,1,3.3,,1,3.6,,1
Ireland,Caucasian (European),21,All,All,Age -> Gender -> Nationality,2.95,0.212,2,4.1,0.0,2,3.3,0.141,2,3.25,0.071,2,3.7,0.141,2
Ireland,Caucasian (European),21,All,All,Gender -> Age -> Nationality,2.9,0.0,2,4.1,0.141,2,3.45,0.212,2,3.3,0.0,2,3.75,0.071,2
Ireland,Caucasian (European),21,All,All,Nationality -> Age -> Gender,2.65,0.071,2,4.05,0.071,2,3.35,0.071,2,3.3,0.141,2,3.75,0.071,2
Ireland,Caucasian (European),22,All,All,Age -> Gender -> Nationality,2.95,0.071,2,4.05,0.071,2,3.5,0.0,2,3.3,0.0,2,3.75,0.071,2
Ireland,Caucasian (European),22,All,All,Gender -> Age -> Nationality,2.7,0.141,2,4.05,0.071,2,3.45,0.071,2,3.4,0.141,2,3.7,0.0,2
Ireland,Caucasian (European),22,All,All,Nationality -> Age -> Gender,2.7,0.141,2,4.1,0.141,2,3.35,0.071,2,3.5,0.0,2,3.6,0.141,2
Ireland,Caucasian (European),28,All,All,Age -> Gender -> Nationality,3.0,,1,4.2,,1,3.4,,1,3.3,,1,3.8,,1
Ireland,Caucasian (European),28,All,All,Gender -> Age -> Nationality,3.1,,1,4.1,,1,3.6,,1,3.4,,1,3.9,,1
Ireland,Caucasian (European),28,All,All,Nationality -> Age -> Gender,2.8,,1,4.2,,1,3.6,,1,3.3,,1,3.8,,1
Ireland,Caucasian (European),35,All,All,Age -> Gender -> Nationality,3.3,,1,4.1,,1,3.4,,1,3.3,,1,3.8,,1
Ireland,Caucasian (European),35,All,All,Gender -> Age -> Nationality,2.9,,1,4.2,,1,3.4,,1,3.3,,1,3.8,,1
Ireland,Caucasian (European),35,All,All,Nationality -> Age -> Gender,2.9,,1,4.1,,1,3.5,,1,3.2,,1,3.8,,1
Ireland,Caucasian (European),72,All,All,Age -> Gender -> Nationality,2.7,,1,4.2,,1,3.2,,1,3.4,,1,3.6,,1
Ireland,Caucasian (European),72,All,All,Gender -> Age -> Nationality,2.4,,1,4.2,,1,3.5,,1,3.5,,1,3.7,,1
Ireland,Caucasian (European),72,All,All,Nationality -> Age -> Gender,2.8,,1,4.1,,1,3.5,,1,3.6,,1,3.7,,1
Israel,Caucasian (Middle East),32,All,All,Age -> Gender -> Nationality,3.3,,1,4.2,,1,3.4,,1,3.2,,1,3.8,,1
Israel,Caucasian (Middle East),32,All,All,Gender -> Age -> Nationality,3.1,,1,4.2,,1,3.8,,1,3.3,,1,3.8,,1
Israel,Caucasian (Middle East),32,All,All,Nationality -> Age -> Gender,3.0,,1,4.1,,1,3.4,,1,3.2,,1,3.8,,1
Italy,Caucasian (European),15,All,All,Age -> Gender -> Nationality,3.1,,1,4.2,,1,3.5,,1,3.2,,1,3.5,,1
Italy,Caucasian (European),15,All,All,Gender -> Age -> Nationality,2.8,,1,4.1,,1,3.4,,1,3.2,,1,3.6,,1
Italy,Caucasian (European),15,All,All,Nationality -> Age -> Gender,3.1,,1,4.2,,1,3.2,,1,3.5,,1,3.7,,1
Italy,Caucasian (European),16,All,All,Age -> Gender -> Nationality,3.0,,1,4.2,,1,3.4,,1,3.3,,1,3.7,,1
Italy,Caucasian (European),16,All,All,Gender -> Age -> Nationality,2.9,,1,4.1,,1,3.1,,1,3.3,,1,3.7,,1
Italy,Caucasian (European),16,All,All,Nationality -> Age -> Gender,3.0,,1,4.2,,1,3.3,,1,3.3,,1,3.8,,1
Italy,Caucasian (European),17,All,All,Age -> Gender -> Nationality,3.0,,1,3.9,,1,3.4,,1,3.3,,1,3.6,,1
Italy,Caucasian (European),17,All,All,Gender -> Age -> Nationality,3.1,,1,4.1,,1,3.1,,1,3.3,,1,3.4,,1
Italy,Caucasian (European),17,All,All,Nationality -> Age -> Gender,2.7,,1,4.2,,1,3.6,,1,3.3,,1,3.9,,1
Italy,Caucasian (European),22,All,All,Age -> Gender -> Nationality,3.2,0.0,4,4.175,0.05,4,3.55,0.058,4,3.3,0.082,4,3.775,0.05,4
Italy,Caucasian (European),22,All,All,Gender -> Age -> Nationality,2.975,0.222,4,4.175,0.05,4,3.525,0.096,4,3.375,0.096,4,3.75,0.058,4
Italy,Caucasian (European),22,All,All,Nationality -> Age -> Gender,2.825,0.126,4,4.175,0.05,4,3.575,0.096,4,3.4,0.115,4,3.725,0.096,4
Italy,Caucasian (European),23,All,All,Age -> Gender -> Nationality,2.9,,1,4.1,,1,3.3,,1,3.3,,1,3.8,,1
Italy,Caucasian (European),23,All,All,Gender -> Age -> Nationality,2.9,,1,4.2,,1,3.3,,1,3.3,,1,3.8,,1
Italy,Caucasian (European),23,All,All,Nationality -> Age -> Gender,3.3,,1,4.2,,1,3.4,,1,3.3,,1,3.7,,1
Italy,Caucasian (European),26,All,All,Age -> Gender -> Nationality,3.2,,1,4.1,,1,3.5,,1,3.3,,1,3.8,,1
Italy,Caucasian (European),26,All,All,Gender -> Age -> Nationality,3.0,,1,4.2,,1,3.6,,1,3.2,,1,3.8,,1
Italy,Caucasian (European),26,All,All,Nationality -> Age -> Gender,3.1,,1,4.1,,1,3.6,,1,3.3,,1,3.8,,1
Italy,Caucasian (European),28,All,All,Age -> Gender -> Nationality,3.2,,1,4.1,,1,3.2,,1,3.3,,1,3.9,,1
Italy,Caucasian (European),28,All,All,Gender -> Age -> Nationality,3.2,,1,4.1,,1,3.6,,1,3.3,,1,3.8,,1
Italy,Caucasian (European),28,All,All,Nationality -> Age -> Gender,3.2,,1,4.1,,1,3.5,,1,3.3,,1,3.8,,1
Italy,Caucasian (European),37,All,All,Age -> Gender -> Nationality,3.2,0.283,2,4.15,0.071,2,3.7,0.0,2,3.25,0.071,2,3.9,0.0,2
Italy,Caucasian (European),37,All,All,Gender -> Age -> Nationality,3.05,0.071,2,4.2,0.0,2,3.75,0.071,2,3.3,0.0,2,3.9,0.0,2
Italy,Caucasian (European),37,All,All,Nationality -> Age -> Gender,3.1,0.141,2,4.15,0.071,2,3.6,0.141,2,3.35,0.071,2,3.75,0.071,2
Italy,Caucasian (European),49,All,All,Age -> Gender -> Nationality,3.0,,1,4.2,,1,3.6,,1,3.3,,1,3.8,,1
Italy,Caucasian (European),49,All,All,Gender -> Age -> Nationality,2.9,,1,4.2,,1,3.7,,1,3.4,,1,3.9,,1
Italy,Caucasian (European),49,All,All,Nationality -> Age -> Gender,2.9,,1,4.2,,1,3.7,,1,3.3,,1,3.8,,1
Italy,Caucasian (European),52,All,All,Age -> Gender -> Nationality,2.5,,1,4.2,,1,3.7,,1,3.3,,1,3.8,,1
Italy,Caucasian (European),52,All,All,Gender -> Age -> Nationality,2.5,,1,4.2,,1,3.7,,1,3.3,,1,3.7,,1
Italy,Caucasian (European),52,All,All,Nationality -> Age -> Gender,3.0,,1,4.2,,1,3.6,,1,3.6,,1,3.8,,1
Italy,Caucasian (European),59,All,All,Age -> Gender -> Nationality,2.7,,1,4.2,,1,3.7,,1,3.6,,1,3.8,,1
Italy,Caucasian (European),59,All,All,Gender -> Age -> Nationality,2.9,,1,4.2,,1,3.6,,1,3.6,,1,3.8,,1
Italy,Caucasian (European),59,All,All,Nationality -> Age -> Gender,2.7,,1,4.2,,1,3.8,,1,3.6,,1,3.8,,1
Italy,Mixed Race,24,All,All,Age -> Gender -> Nationality,3.4,,1,4.2,,1,3.5,,1,3.3,,1,3.6,,1
Italy,Mixed Race,24,All,All,Gender -> Age -> Nationality,3.2,,1,4.2,,1,3.4,,1,3.3,,1,3.8,,1
Italy,Mixed Race,24,All,All,Nationality -> Age -> Gender,3.1,,1,4.1,,1,3.5,,1,3.3,,1,3.8,,1
Jamaica,Mixed Race,20,All,All,Age -> Gender -> Nationality,3.35,0.071,2,4.2,0.0,2,3.25,0.071,2,3.25,0.071,2,3.75,0.071,2
Jamaica,Mixed Race,20,All,All,Gender -> Age -> Nationality,3.35,0.212,2,4.15,0.071,2,3.35,0.071,2,3.3,0.141,2,3.75,0.071,2
Jamaica,Mixed Race,20,All,All,Nationality -> Age -> Gender,3.35,0.212,2,4.15,0.071,2,3.4,0.141,2,3.25,0.071,2,3.7,0.141,2
Japan,Caucasian (European),28,All,All,Age -> Gender -> Nationality,3.0,,1,4.2,,1,3.7,,1,3.3,,1,3.8,,1
Japan,Caucasian (European),28,All,All,Gender -> Age -> Nationality,2.9,,1,4.1,,1,3.7,,1,3.3,,1,3.7,,1
Japan,Caucasian (European),28,All,All,Nationality -> Age -> Gender,2.8,,1,4.0,,1,3.4,,1,3.3,,1,3.7,,1
Japan,South East Asian,48,All,All,Age -> Gender -> Nationality,3.0,,1,4.2,,1,3.7,,1,3.3,,1,3.7,,1
Japan,South East Asian,48,All,All,Gender -> Age -> Nationality,2.8,,1,4.1,,1,3.6,,1,3.2,,1,3.8,,1
Japan,South East Asian,48,All,All,Nationality -> Age -> Gender,2.5,,1,4.1,,1,3.6,,1,3.3,,1,3.7,,1
Japan,West African,38,All,All,Age -> Gender -> Nationality,3.1,,1,4.2,,1,3.6,,1,3.3,,1,3.7,,1
Japan,West African,38,All,All,Gender -> Age -> Nationality,3.0,,1,4.1,,1,3.6,,1,3.3,,1,3.7,,1
Japan,West African,38,All,All,Nationality -> Age -> Gender,3.0,,1,4.1,,1,3.5,,1,3.3,,1,3.7,,1
Kenya,Caucasian (Indian),16,All,All,Age -> Gender -> Nationality,3.1,,1,4.1,,1,3.3,,1,3.1,,1,3.7,,1
Kenya,Caucasian (Indian),16,All,All,Gender -> Age -> Nationality,2.9,,1,4.0,,1,3.2,,1,3.3,,1,3.6,,1
Kenya,Caucasian (Indian),16,All,All,Nationality -> Age -> Gender,2.9,,1,3.9,,1,3.5,,1,3.3,,1,3.7,,1
Kenya,Caucasian (Middle East),23,All,All,Age -> Gender -> Nationality,2.9,,1,4.2,,1,3.5,,1,3.2,,1,3.7,,1
Kenya,Caucasian (Middle East),23,All,All,Gender -> Age -> Nationality,3.3,,1,4.2,,1,3.6,,1,3.5,,1,3.8,,1
Kenya,Caucasian (Middle East),23,All,All,Nationality -> Age -> Gender,3.0,,1,4.1,,1,3.6,,1,3.2,,1,3.8,,1
Kenya,Other,23,All,All,Age -> Gender -> Nationality,3.2,0.0,2,4.15,0.071,2,3.45,0.212,2,3.35,0.071,2,3.75,0.071,2
Kenya,Other,23,All,All,Gender -> Age -> Nationality,3.25,0.071,2,4.2,0.0,2,3.5,0.0,2,3.3,0.0,2,3.75,0.071,2
Kenya,Other,23,All,All,Nationality -> Age -> Gender,3.2,0.141,2,4.15,0.071,2,3.55,0.071,2,3.25,0.071,2,3.7,0.0,2
Kenya,Other,28,All,All,Age -> Gender -> Nationality,2.7,,1,4.1,,1,3.8,,1,3.3,,1,3.8,,1
Kenya,Other,28,All,All,Gender -> Age -> Nationality,2.9,,1,4.2,,1,3.5,,1,3.3,,1,3.8,,1
Kenya,Other,28,All,All,Nationality -> Age -> Gender,3.3,,1,4.1,,1,3.7,,1,3.4,,1,3.8,,1
"Korea, Republic of",South East Asian,23,All,All,Age -> Gender -> Nationality,2.8,,1,4.0,,1,3.3,,1,3.3,,1,3.6,,1
"Korea, Republic of",South East Asian,23,All,All,Gender -> Age -> Nationality,2.8,,1,4.2,,1,3.6,,1,3.2,,1,3.7,,1
"Korea, Republic of",South East Asian,23,All,All,Nationality -> Age -> Gender,2.7,,1,4.1,,1,3.6,,1,3.3,,1,3.8,,1
Lebanon,Other,26,All,All,Age -> Gender -> Nationality,3.1,,1,4.2,,1,3.3,,1,3.2,,1,3.8,,1
Lebanon,Other,26,All,All,Gender -> Age -> Nationality,3.0,,1,4.1,,1,3.5,,1,3.3,,1,3.7,,1
Lebanon,Other,26,All,All,Nationality -> Age -> Gender,2.8,,1,4.2,,1,3.5,,1,3.3,,1,3.8,,1
Malaysia,Other,22,All,All,Age -> Gender -> Nationality,3.2,,1,4.1,,1,3.5,,1,3.3,,1,3.7,,1
Malaysia,Other,22,All,All,Gender -> Age -> Nationality,3.0,,1,4.1,,1,3.4,,1,3.3,,1,3.7,,1
Malaysia,Other,22,All,All,Nationality -> Age -> Gender,2.7,,1,4.2,,1,3.5,,1,3.2,,1,3.7,,1
Malaysia,Other,47,All,All,Age -> Gender -> Nationality,3.3,,1,4.0,,1,3.6,,1,3.3,,1,3.6,,1
Malaysia,Other,47,All,All,Gender -> Age -> Nationality,3.0,,1,4.1,,1,3.6,,1,3.3,,1,3.7,,1
Malaysia,Other,47,All,All,Nationality -> Age -> Gender,3.2,,1,4.1,,1,3.7,,1,3.3,,1,3.7,,1
Malaysia,South East Asian,17,All,All,Age -> Gender -> Nationality,3.0,,1,4.2,,1,3.3,,1,3.1,,1,3.7,,1
Malaysia,South East Asian,17,All,All,Gender -> Age -> Nationality,2.9,,1,4.2,,1,3.3,,1,3.3,,1,3.6,,1
Malaysia,South East Asian,17,All,All,Nationality -> Age -> Gender,2.6,,1,4.2,,1,3.4,,1,3.2,,1,3.7,,1
Malaysia,South East Asian,18,All,All,Age -> Gender -> Nationality,2.6,,1,4.1,,1,3.2,,1,3.3,,1,3.5,,1
Malaysia,South East Asian,18,All,All,Gender -> Age -> Nationality,2.5,,1,4.1,,1,3.2,,1,3.3,,1,3.5,,1
Malaysia,South East Asian,18,All,All,Nationality -> Age -> Gender,2.8,,1,4.1,,1,3.3,,1,3.3,,1,3.5,,1
Malaysia,South East Asian,19,All,All,Age -> Gender -> Nationality,2.8,,1,4.1,,1,3.3,,1,3.2,,1,3.7,,1
Malaysia,South East Asian,19,All,All,Gender -> Age -> Nationality,2.9,,1,4.2,,1,3.3,,1,3.2,,1,3.6,,1
Malaysia,South East Asian,19,All,All,Nationality -> Age -> Gender,2.9,,1,4.2,,1,3.2,,1,3.3,,1,3.6,,1
Malaysia,South East Asian,20,All,All,Age -> Gender -> Nationality,2.8,,1,4.2,,1,3.4,,1,3.3,,1,3.6,,1
Malaysia,South East Asian,20,All,All,Gender -> Age -> Nationality,2.8,,1,4.1,,1,3.3,,1,3.1,,1,3.6,,1
Malaysia,South East Asian,20,All,All,Nationality -> Age -> Gender,2.7,,1,4.2,,1,3.6,,1,3.2,,1,3.6,,1
Malaysia,South East Asian,21,All,All,Age -> Gender -> Nationality,2.9,0.183,4,4.1,0.082,4,3.4,0.082,4,3.275,0.171,4,3.675,0.096,4
Malaysia,South East Asian,21,All,All,Gender -> Age -> Nationality,2.85,0.129,4,4.1,0.115,4,3.25,0.129,4,3.3,0.0,4,3.575,0.096,4
Malaysia,South East Asian,21,All,All,Nationality -> Age -> Gender,2.75,0.129,4,4.15,0.058,4,3.4,0.082,4,3.3,0.141,4,3.625,0.05,4
Malaysia,South East Asian,22,All,All,Age -> Gender -> Nationality,2.8,0.283,2,4.15,0.071,2,3.4,0.0,2,3.4,0.141,2,3.7,0.0,2
Malaysia,South East Asian,22,All,All,Gender -> Age -> Nationality,2.75,0.071,2,4.1,0.141,2,3.3,0.141,2,3.3,0.0,2,3.65,0.071,2
Malaysia,South East Asian,22,All,All,Nationality -> Age -> Gender,2.9,0.141,2,4.2,0.0,2,3.35,0.071,2,3.3,0.0,2,3.6,0.0,2
Malaysia,South East Asian,23,All,All,Age -> Gender -> Nationality,3.2,,1,4.0,,1,3.4,,1,3.2,,1,3.8,,1
Malaysia,South East Asian,23,All,All,Gender -> Age -> Nationality,2.7,,1,4.2,,1,3.4,,1,3.2,,1,3.6,,1
Malaysia,South East Asian,23,All,All,Nationality -> Age -> Gender,3.1,,1,4.2,,1,3.5,,1,3.3,,1,3.6,,1
Malaysia,South East Asian,24,All,All,Age -> Gender -> Nationality,2.8,,1,4.1,,1,3.5,,1,3.3,,1,3.7,,1
Malaysia,South East Asian,24,All,All,Gender -> Age -> Nationality,2.8,,1,4.2,,1,3.5,,1,3.3,,1,3.7,,1
Malaysia,South East Asian,24,All,All,Nationality -> Age -> Gender,2.6,,1,4.1,,1,3.5,,1,3.3,,1,3.6,,1
Malaysia,South East Asian,25,All,All,Age -> Gender -> Nationality,2.8,,1,4.2,,1,3.3,,1,3.3,,1,3.6,,1
Malaysia,South East Asian,25,All,All,Gender -> Age -> Nationality,2.8,,1,4.2,,1,3.3,,1,3.3,,1,3.6,,1
Malaysia,South East Asian,25,All,All,Nationality -> Age -> Gender,2.9,,1,4.2,,1,3.6,,1,3.3,,1,3.7,,1
Malaysia,South East Asian,28,All,All,Age -> Gender -> Nationality,3.1,,1,4.2,,1,3.5,,1,3.2,,1,3.8,,1
Malaysia,South East Asian,28,All,All,Gender -> Age -> Nationality,2.9,,1,4.1,,1,3.4,,1,3.3,,1,3.8,,1
Malaysia,South East Asian,28,All,All,Nationality -> Age -> Gender,2.8,,1,4.2,,1,3.5,,1,3.3,,1,3.8,,1
Mexico,Caucasian (European),27,All,All,Age -> Gender -> Nationality,3.1,,1,4.2,,1,3.5,,1,3.2,,1,3.8,,1
Mexico,Caucasian (European),27,All,All,Gender -> Age -> Nationality,3.0,,1,4.2,,1,3.7,,1,3.3,,1,3.8,,1
Mexico,Caucasian (European),27,All,All,Nationality -> Age -> Gender,2.9,,1,4.1,,1,3.5,,1,3.2,,1,3.8,,1
Mexico,Mixed Race,23,All,All,Age -> Gender -> Nationality,3.3,,1,4.2,,1,3.4,,1,3.2,,1,3.8,,1
Mexico,Mixed Race,23,All,All,Gender -> Age -> Nationality,3.3,,1,4.2,,1,3.5,,1,3.2,,1,3.7,,1
